"id","source","category_code","category_path","cpi_category","match_method","created_at"
17664,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Баклажаны,qwen,2026-07-08 12:06:55.957
17665,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Сухарики,qwen,2026-07-08 12:06:55.957
17666,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Зеленый горошек консервированный,qwen,2026-07-08 12:06:55.957
17667,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Крупа овсяная,qwen,2026-07-08 12:06:55.957
17668,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Огурцы и помидоры соленые, маринованные",qwen,2026-07-08 12:06:55.957
17669,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Лаваш,qwen,2026-07-08 12:06:55.957
17670,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Печенье затяжное, галеты, крекеры",qwen,2026-07-08 12:06:55.957
17671,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Виноград,qwen,2026-07-08 12:06:55.957
17672,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Спагетти,qwen,2026-07-08 12:06:55.957
17673,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Вода минеральная,qwen,2026-07-08 12:06:55.957
17674,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Рис шлифованный, полированный",qwen,2026-07-08 12:06:55.957
17675,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Зефир,qwen,2026-07-08 12:06:55.957
17676,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Крупа пшеничная,qwen,2026-07-08 12:06:55.957
17677,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Варенье, джем",qwen,2026-07-08 12:06:55.957
17678,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Булочки сдобные,qwen,2026-07-08 12:06:55.957
17679,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Пряники,qwen,2026-07-08 12:06:55.957
17680,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Ягоды замороженные,qwen,2026-07-08 12:06:55.957
17681,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Фасоль,qwen,2026-07-08 12:06:55.957
17682,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Сушки,qwen,2026-07-08 12:06:55.957
17683,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Сахар-рафинад,qwen,2026-07-08 12:06:55.957
17684,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Лапша,qwen,2026-07-08 12:06:55.957
17685,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Вода питьевая,qwen,2026-07-08 12:06:55.957
17686,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Вафли,qwen,2026-07-08 12:06:55.957
17687,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Яблоки,qwen,2026-07-08 12:06:55.957
17688,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Овсяные хлопья,qwen,2026-07-08 12:06:55.957
17689,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Брокколи,qwen,2026-07-08 12:06:55.957
17690,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Чай черный,qwen,2026-07-08 12:06:55.957
17691,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Мед,qwen,2026-07-08 12:06:55.957
17692,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Лимоны,qwen,2026-07-08 12:06:55.957
17693,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Соль, кроме экстра",qwen,2026-07-08 12:06:55.957
17694,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Маргарин,qwen,2026-07-08 12:06:55.957
17695,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Перец черный, красный молотый",qwen,2026-07-08 12:06:55.957
17696,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Киви,qwen,2026-07-08 12:06:55.957
17697,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Цветная капуста,qwen,2026-07-08 12:06:55.957
17698,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Напитки негазированные,qwen,2026-07-08 12:06:55.957
17699,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Паста шоколадная,qwen,2026-07-08 12:06:55.957
17700,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Морковь,qwen,2026-07-08 12:06:55.957
17701,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Соки фруктовые, овощные",qwen,2026-07-08 12:06:55.957
17702,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Мука пшеничная высшего сорта,qwen,2026-07-08 12:06:55.957
3027,wolt,    Овощи и фрукты /         Фрукты и ягоды,    Овощи и фрукты /         Фрукты и ягоды,Виноград,qwen,2026-07-07 10:34:10.140
3028,astykzhan,zamorozhennye-i-okhlazhdennye-produkty,zamorozhennye-i-okhlazhdennye-produkty,Баранина,qwen,2026-07-07 10:34:10.140
3549,wolt,Вода и напитки / Газировка,Вода и напитки / Газировка,Вода минеральная,qwen,2026-07-07 11:33:51.709
3550,wolt,Вода и Напитки / Лимонады,Вода и Напитки / Лимонады,Вода минеральная,qwen,2026-07-07 11:33:51.709
3551,wolt,ВЫПЕЧКА COLIBRI 🥮,ВЫПЕЧКА COLIBRI 🥮,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3033,astykzhan,gastronomiya,gastronomiya,Баранина,qwen,2026-07-07 10:34:10.140
3030,kaspi_food,Berries,Berries,Виноград,qwen,2026-07-07 10:34:10.140
3035,kaspi_food,Ground meat,Ground meat,Баранина,qwen,2026-07-07 10:34:10.140
3552,wolt,ВЫПЕЧКА 🥐,ВЫПЕЧКА 🥐,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3553,wolt,ВТОРЫЕ БЛЮДА 🍲,ВТОРЫЕ БЛЮДА 🍲,Вермишель,qwen,2026-07-07 11:33:51.709
3554,wolt,Вода и напитки / Холодные кофе и чай,Вода и напитки / Холодные кофе и чай,Вода минеральная,qwen,2026-07-07 11:33:51.709
3555,wolt,Вода и напитки / Морсы и компоты,Вода и напитки / Морсы и компоты,Вода питьевая,qwen,2026-07-07 11:33:51.709
3556,wolt,"Вода, соки и напитки / Нектары","Вода, соки и напитки / Нектары",Вода минеральная,qwen,2026-07-07 11:33:51.709
3557,wolt,"Вода, напитки / Энергетики, Спортивные напитки","Вода, напитки / Энергетики, Спортивные напитки",Вода питьевая,qwen,2026-07-07 11:33:51.709
3558,wolt,Вода и Напитки / Пепси,Вода и Напитки / Пепси,Вода минеральная,qwen,2026-07-07 11:33:51.709
3559,wolt,"Вино, шампанское / Другие вина","Вино, шампанское / Другие вина",Вино виноградное,qwen,2026-07-07 11:33:51.709
3560,wolt,"Вода, соки и напитки / Безалкогольное вино","Вода, соки и напитки / Безалкогольное вино",Вода питьевая,qwen,2026-07-07 11:33:51.709
3561,wolt,Вода,Вода,Вода питьевая,qwen,2026-07-07 11:33:51.709
3562,wolt,"Вода, напитки / Другие напитки","Вода, напитки / Другие напитки",Вода питьевая,qwen,2026-07-07 11:33:51.709
3563,wolt,Вафельные рожки,Вафельные рожки,Вафли,qwen,2026-07-07 11:33:51.709
3048,kaspi_food,Frozen vegetables and mixes,Frozen vegetables and mixes,Брокколи,qwen,2026-07-07 10:34:10.140
3049,kaspi_food,Steaks,Steaks,Баранина,qwen,2026-07-07 10:34:10.140
3564,wolt,Вино и шампанское / Белое вино,Вино и шампанское / Белое вино,Вино виноградное,qwen,2026-07-07 11:33:51.709
3565,wolt,Вино и шампанское / Розовое вино,Вино и шампанское / Розовое вино,Вино виноградное,qwen,2026-07-07 11:33:51.709
3052,arbuz,"225253-gotovaya_eda","225253-gotovaya_eda",Вареники,qwen,2026-07-07 10:34:10.140
3566,wolt,Выпечка / Хлебцы,Выпечка / Хлебцы,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3567,wolt,"Выпечка / Лепешки, Пита, Лаваш","Выпечка / Лепешки, Пита, Лаваш",Булочки сдобные,qwen,2026-07-07 11:33:51.709
3568,wolt,"Выпечка / Выпечка, Торты","Выпечка / Выпечка, Торты",Булочки сдобные,qwen,2026-07-07 11:33:51.709
3569,wolt,"Вино, шампанское / Безалкогольное вино, Шампанское","Вино, шампанское / Безалкогольное вино, Шампанское",Вино виноградное,qwen,2026-07-07 11:33:51.709
3570,wolt,Вода и Напитки / Мохито,Вода и Напитки / Мохито,Вода питьевая,qwen,2026-07-07 11:33:51.709
3058,wolt,    Овощи и фрукты /         Фрукты и ягоды,    Овощи и фрукты /         Фрукты и ягоды,Бананы,qwen,2026-07-07 10:34:10.140
3571,wolt,"Вода, соки и напитки / Безалкогольное пиво","Вода, соки и напитки / Безалкогольное пиво",Вода питьевая,qwen,2026-07-07 11:33:51.709
3060,arbuz,"225169-bakaleya","225169-bakaleya",Вафли,qwen,2026-07-07 10:34:10.140
3061,kaspi_food,Shish kebab,Shish kebab,Баранина,qwen,2026-07-07 10:34:10.140
3572,wolt,Вино / Розовое  🍇,Вино / Розовое  🍇,Вино виноградное,qwen,2026-07-07 11:33:51.709
3063,astykzhan,konservy,konservy,"Варенье, джем",qwen,2026-07-07 10:34:10.140
3573,wolt,Вода и напитки / Холодный чай и напитки,Вода и напитки / Холодный чай и напитки,Вода питьевая,qwen,2026-07-07 11:33:51.709
3574,wolt,"Вино и шампанское / Ароматизированное, фруктовое вино","Вино и шампанское / Ароматизированное, фруктовое вино",Вино виноградное,qwen,2026-07-07 11:33:51.709
3066,kaspi_food,Frozen semi-finished meat products,Frozen semi-finished meat products,Баранина,qwen,2026-07-07 10:34:10.140
3575,wolt,Вода и напитки / Энергетики,Вода и напитки / Энергетики,Вода минеральная,qwen,2026-07-07 11:33:51.709
3576,wolt,Вино,Вино,Вино виноградное,qwen,2026-07-07 11:33:51.709
3577,wolt,Вино / Красное 🍷,Вино / Красное 🍷,Вино виноградное,qwen,2026-07-07 11:33:51.709
3074,wolt,"    Мясо, Птица, Колбаса /         Фарш","    Мясо, Птица, Колбаса /         Фарш",Баранина,qwen,2026-07-07 10:34:10.140
3079,astykzhan,bakaleya,bakaleya,Вафли,qwen,2026-07-07 10:34:10.140
3081,wolt,    Овощи и фрукты /         Фрукты и ягоды,    Овощи и фрукты /         Фрукты и ягоды,Апельсины,qwen,2026-07-07 10:34:10.140
3090,wolt,Алкоголь / Розовые и фруктовые вина,Алкоголь / Розовые и фруктовые вина,Вино виноградное,qwen,2026-07-07 10:41:29.106
3092,wolt,АЛКОГОЛЬ🍷 / Розовые вина,АЛКОГОЛЬ🍷 / Розовые вина,Вино виноградное,qwen,2026-07-07 10:41:29.106
3096,wolt,"АЛКОГОЛЬ (ВОДКА, ВИСКИ, ВИНО, ПИВО) / ВЕРМУТЫ, ИГРИСТЫЕ ВИНА","АЛКОГОЛЬ (ВОДКА, ВИСКИ, ВИНО, ПИВО) / ВЕРМУТЫ, ИГРИСТЫЕ ВИНА",Вино виноградное,qwen,2026-07-07 10:41:29.106
3095,wolt,АЛКОГОЛЬ🍷 / Белые вина,АЛКОГОЛЬ🍷 / Белые вина,Вино виноградное,qwen,2026-07-07 10:41:29.106
3093,wolt,"АЛКОГОЛЬ (ВОДКА, ВИСКИ, ВИНО, ПИВО) / ВИНА РОССИЯ, ГРУЗИЯ, МОЛДОВА","АЛКОГОЛЬ (ВОДКА, ВИСКИ, ВИНО, ПИВО) / ВИНА РОССИЯ, ГРУЗИЯ, МОЛДОВА",Вино виноградное,qwen,2026-07-07 10:41:29.106
3091,wolt,АЛКОГОЛЬ / ВИНО,АЛКОГОЛЬ / ВИНО,Вино виноградное,qwen,2026-07-07 10:41:29.106
3094,wolt,"БАКАЛЕЯ / ДЖЕМ, ВАРЕНИЕ,МЕД","БАКАЛЕЯ / ДЖЕМ, ВАРЕНИЕ,МЕД","Варенье, джем",qwen,2026-07-07 10:41:29.106
3189,wolt,ВИНО / Белое полусладкое,ВИНО / Белое полусладкое,Вино виноградное,qwen,2026-07-07 10:57:26.799
3578,wolt,Вода соки напитки / Соки нектары компоты,Вода соки напитки / Соки нектары компоты,Вода минеральная,qwen,2026-07-07 11:33:51.709
3579,wolt,"Вода, соки и напитки / Компоты/ морсы/ кисели","Вода, соки и напитки / Компоты/ морсы/ кисели",Вода питьевая,qwen,2026-07-07 11:33:51.709
3580,wolt,Вода и Напитки / Спрайт,Вода и Напитки / Спрайт,Вода минеральная,qwen,2026-07-07 11:33:51.709
3581,wolt,Вода и Напитки / Алое,Вода и Напитки / Алое,Вода минеральная,qwen,2026-07-07 11:33:51.709
3582,wolt,"Вода, соки и напитки / Вода","Вода, соки и напитки / Вода",Вода минеральная,qwen,2026-07-07 11:33:51.709
3583,wolt,"Вода, напитки / Соки, Смузи","Вода, напитки / Соки, Смузи",Вода питьевая,qwen,2026-07-07 11:33:51.709
3584,wolt,Вода и Напитки / Макси Чай,Вода и Напитки / Макси Чай,Вода минеральная,qwen,2026-07-07 11:33:51.709
3109,wolt,Алкогольные напитки / Шампанское и игристые вина,Алкогольные напитки / Шампанское и игристые вина,Вино виноградное,qwen,2026-07-07 10:41:29.106
3585,wolt,Вода и напитки / Вода,Вода и напитки / Вода,Вода минеральная,qwen,2026-07-07 11:33:51.709
3586,wolt,Вафли,Вафли,Вафли,qwen,2026-07-07 11:33:51.709
3587,wolt,"Вино, шампанское / Красное вино","Вино, шампанское / Красное вино",Вино виноградное,qwen,2026-07-07 11:33:51.709
3588,wolt,Вода и Напитки / Фьюс чай,Вода и Напитки / Фьюс чай,Вода минеральная,qwen,2026-07-07 11:33:51.709
3589,wolt,Выпечка / Выпечка на пшеничной муке,Выпечка / Выпечка на пшеничной муке,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3590,wolt,"Вода, соки и напитки / Энергетические напитки","Вода, соки и напитки / Энергетические напитки",Вода питьевая,qwen,2026-07-07 11:33:51.709
3591,wolt,"ВЫПЕЧКА И ПИРОГИ / Торты, пирожные, десерты","ВЫПЕЧКА И ПИРОГИ / Торты, пирожные, десерты",Булочки сдобные,qwen,2026-07-07 11:33:51.709
3592,wolt,ВЫПЕЧКА ПО ПРЕДЗАКАЗУ🥐,ВЫПЕЧКА ПО ПРЕДЗАКАЗУ🥐,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3593,wolt,ВЫПЕЧКА🥐,ВЫПЕЧКА🥐,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3594,wolt,ВЫПЕЧКА 🥨,ВЫПЕЧКА 🥨,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3595,wolt,Варенье,Варенье,"Варенье, джем",qwen,2026-07-07 11:33:51.709
3596,wolt,Вода и Напитки / Фанта,Вода и Напитки / Фанта,Вода минеральная,qwen,2026-07-07 11:33:51.709
3597,wolt,"Вода, соки и напитки / Сиропы/ топпинги","Вода, соки и напитки / Сиропы/ топпинги",Вода питьевая,qwen,2026-07-07 11:33:51.709
3130,wolt,БАКАЛЕЯ / ЛАПША И ПЮРЕ БЫСТРОГО ПРИГОТОВЛЕНИЯ,БАКАЛЕЯ / ЛАПША И ПЮРЕ БЫСТРОГО ПРИГОТОВЛЕНИЯ,Вермишель,qwen,2026-07-07 10:41:29.106
3131,wolt,БАКАЛЕЯ / Снэки,БАКАЛЕЯ / Снэки,Арахис (орех земляной),qwen,2026-07-07 10:41:29.106
3598,wolt,ВЫПЕЧКА И ПИРОГИ / Баурсаки и пончики,ВЫПЕЧКА И ПИРОГИ / Баурсаки и пончики,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3599,wolt,ВЫПЕЧКА,ВЫПЕЧКА,Булочки сдобные,qwen,2026-07-07 11:33:51.709
3600,wolt,"Вода, напитки / Другие напитки","Вода, напитки / Другие напитки",Вода минеральная,qwen,2026-07-07 11:33:51.709
3135,wolt,Алкоголь / Красные вина,Алкоголь / Красные вина,Вино виноградное,qwen,2026-07-07 10:41:29.106
3601,wolt,Вода питьевая и минеральная,Вода питьевая и минеральная,Вода питьевая,qwen,2026-07-07 11:33:51.709
3602,wolt,"Вода, соки и напитки / Вода","Вода, соки и напитки / Вода",Вода питьевая,qwen,2026-07-07 11:33:51.709
3110,wolt,Алкоголь / ВИНО,Алкоголь / ВИНО,Вино виноградное,qwen,2026-07-07 10:41:29.106
3123,wolt,БАКАЛЕЯ / Вода и напитки,БАКАЛЕЯ / Вода и напитки,Вода питьевая,qwen,2026-07-07 10:41:29.106
3107,wolt,"АРАХИС, АРАХИС В ГЛАЗУРИ, КЕШЬЮ,мИНДАЛЬ","АРАХИС, АРАХИС В ГЛАЗУРИ, КЕШЬЮ,мИНДАЛЬ",Арахис (орех земляной),qwen,2026-07-07 10:41:29.106
